Rank, Album Name, Rating, #votes, Popularity
138, 1080° Snow Boarding Original Sound Track, 2.77, 11, 0.0459
139, o1 / SawanoHiroyuki[nZk], 4.68, 11, 0.0459
140, Sengoku BASARA -The Last Party- Ongaku Emaki ~Saraba, Tomo yo~, 4.58 (12), 0.0461
141, MARIO SPORTS CD: MARIO TENNIS GC & MARIO GOLF FAMILY TOUR THE BEST, 3.77, 11, 0.0462
142, TV ANIMATION "HAIKYU!!" ORIGINAL SOUND TRACK 2, 4.27, 22, 0.0462
143, Monster Hunter Swing ~Big Band Jazz Arrange~, 3.45, 11, 0.0464
144, X.U. | scaPEGoat / SawanoHiroyuki[nZk] [Limited Edition], 4.42, 13, 0.0466
145, Medal of Honor original soundtrack recording, 4.27, 11, 0.0472
146, Blood on the Asphalt: A Super Street Fighter 2 Turbo ReMix Collaboration, 3.00, 19, 0.0473
147, Crimson Blitz - LIGHTNING RETURNS:FINAL FANTASY XIII, 3.58, 12, 0.0481
148, Rockman X Command Mission Original Soundtrack, 3.86, 11, 0.0481
149, SHENMUE, 3.83, 12, 0.0483
150, Capcom vs. SNK Millennium Fight 2000 Original Soundtrack, 3.15, 13, 0.0483
151, HIROYUKI SAWANO BEST OF SOUNDTRACK [emU] [Limited Edition], 4.38, 13, 0.0484
152, Heroes vs. Villains, 3.91, 16, 0.0487
153, RED, 4.08, 12, 0.0487
154, Persona 4 soundtrack side a, 3.97, 15, 0.0489
155, PERFECT COLLECTION BRANDISH, 3.09, 11, 0.0491
156, Rockman ZX Soundsketch "ZX Gigamix", 3.88, 12, 0.0491
157, Zelda Sound Collection, 3.54, 14, 0.0492
158, Mega Man 2 Soundtrack: Beat The 8 Super Robots With 8 Bit Instrumental, 3.91, 11, 0.0493
159, Tsubasa Chronicle Original Soundtrack - Future Soundscape I, 4.09, 11, 0.0494
160, The Legend of Zelda: Majora's Mask Official Soundtrack, 4.04, 12, 0.0498
161, Seiken Densetsu RISE of MANA Original Soundtrack, 2.70, 15, 0.0501
162, Devil May Cry 5 ORIGINAL SOUNDTRACK, 3.73, 11, 0.0504
163, HALO 4 ORIGINAL SOUNDTRACK, 3.58, 12, 0.0505
164, BioShock Infinite Digital Soundtrack, 3.50, 12, 0.0508
165, TALES OF XILLIA2 Original Soundtrack, 3.41, 11, 0.0510
166, ALDNOAH.ZERO REARRANGE SOUNDTRACK, 4.43, 15, 0.0512
167, Castlevania: Symphony of the Night - Resurrection, 3.42, 12, 0.0514
168, Mario Party 3 Original Soundtrack, 3.29, 14, 0.0514
169, TOKYO XANADU ORIGINAL SOUNDTRACK, 4.14, 11, 0.0514
170, Diablo III Collector's Edition Soundtrack, 3.77, 11, 0.0515
171, Da Banana Bunch: The Original Donkey Kong 64 Soundtrack, 3.38, 13, 0.0517
172, Star Ocean: The Second Story Fantasy MegaMix, 3.23, 13, 0.0517
173, Sounds From The Lighthouse: Official BioShock 2 Score, 3.46, 13, 0.0517
174, muchimuchipork! original sound track, 3.32, 11, 0.0519
175, Welcome to the Ballroom ORIGINAL SOUNDTRACK, 4.35, 23, 0.0520
176, Akumajo Dracula -Odi et amo-, 3.46, 12, 0.0527
177, Lost and Found : Shadow the Hedgehog Vocal Trax, 3.95, 11, 0.0528
178, Metal Gear Rising: Revengeance Soundtrack, 3.27, 15, 0.0530
179, LEG VACUUM, 4.18, 11, 0.0530
180, The Legend of Xanadu Super Arrange Version, 3.50, 13, 0.0532
181, SONIC THE HEDGEHOG 4 EPISODE I & II Original Soundtrack, 3.08, 19, 0.0532
182, HAUNTED DANCEHALL, 3.89, 14, 0.0533
183, Kokoro vibration, 4.79, 12, 0.0534
184, DODONPACHI SAIDAIOUJOU ARRANGE ALBUM, 3.36, 11, 0.0535
185, A/Z|aLIEz / SawanoHiroyuki[nZk] [Limited Edition], 4.38, 12, 0.0538
186, EXSERENS, 4.39, 14, 0.0539
187, Steins;Gate Original Soundtrack+Radio CD (Kari), 4.55, 11, 0.0541
188, Ryuusei no Rockman 1&2 Original Soundtrack, 3.73, 11, 0.0542
189, Split Theory, 4.23, 13, 0.0543
190, Crush 40, 4.82, 11, 0.0545
191, Nintendo DS Pokémon Black2 - White2 Super Music Complete, 4.16, 19, 0.0545
192, Image Album Ys V Ushinawareta Suna no Miyako Kefin, 3.23, 11, 0.0545
193, TV ANIMATION "HAIKYU!!" ORIGINAL SOUND TRACK 1, 4.27, 24, 0.0547
194, THE LEGEND OF HEROES "SORA NO KISEKI FC & SC" SUPER ARRANGE VERSION, 4.13, 12, 0.0547
195, Nadir, 4.59, 11, 0.0548
196, NiGHTS: Lucid Dreaming, 3.79, 14, 0.0548
197, PUELLA MAGI MADOKA☆MAGICA THE MOVIE Original Soundtrack, 3.89, 14, 0.0548
198, True Blue: The Best of Sonic the Hedgehog, 4.07, 15, 0.0549
199, Elminage ~Yami no Miko to Kamigami no Yubiwa~ Original Soundtrack, 3.41, 11, 0.0552
200, REMASTERED TRACKS ROCKMAN ZERO, 3.90, 15, 0.0554
201, ZONE OF THE ENDERS ReMIX EDITION, 3.47, 16, 0.0555
202, GUNDAM BUILD FIGHTERS ORIGINAL SOUNDTRACK, 4.27, 26, 0.0556
203, The Baku Bom!!! Baku Bomberman Original Soundtrack, 3.57, 15, 0.0556
204, Metal Gear 25th Anniversary ~ Metal Gear Music Collection, 4.18, 11, 0.0557
205, Xenogears Light | an arranged album, 2.64, 14, 0.0561
206, Mr. DRILLER SOUND TRACKS, 4.00, 11, 0.0561
207, Biohazard 2 ReMIX~met@morPhoses~, 2.95, 11, 0.0561
208, Chocobo to Mahou no Ehon Series Original Soundtrack, 3.45, 11, 0.0562
209, Final Fantasy V: The Fabled Warriors ~I. WIND~, 3.34, 16, 0.0562
210, NARUTO Original Soundtrack II, 4.23, 11, 0.0563
211, Secret of Mana Original Soundtrack, 3.50, 12, 0.0564
212, Gekijouban Fate/stay night UNLIMITED BLADE WORKS ORIGINAL SOUND TRACK, 4.27, 11, 0.0565
213, Jiyuu e no Shingeki / Linked Horizon [Limited Edition], 3.29, 12, 0.0565
214, Bokujou Monogatari ~ Harvest Moon Original Soundtrack, 3.64, 14, 0.0565
