Rank, Album Name, Rating, #votes, Popularity
120, Ar tonelico: Sekai no Owari de Utaitsuzukeru Shoujo Original Soundtrack, 4.45, 32, 0.2956
121, Shenmue Orchestra Version, 4.61, 31, 0.2946
122, Xenosaga II: Jenseits von Gut und Böse ~Movie Scene Soundtrack~, 4.12, 43, 0.2941
123, Baten Kaitos: Owaranai Tsubasa to Ushinawareta Umi Original Soundtrack, 4.27, 43, 0.2938
124, Persona4 Original Soundtrack, 4.19, 52, 0.2930
125, Symphonic Odysseys TRIBUTE TO NOBUO UEMATSU, 4.37, 27, 0.2926
126, an cinniùint, 4.21, 39, 0.2920
127, Mushihimesama Original Sound Track, 4.34, 32, 0.2906
128, FINAL FANTASY XI Original Soundtrack PREMIUM BOX, 4.20, 32, 0.2904
129, The Last Remnant Original Soundtrack, 4.30, 32, 0.2901
130, Vielen Dank, 4.15, 33, 0.2901
131, SUPER METROID "SOUND IN ACTION", 4.23, 33, 0.2900
132, Donkey Kong Country 2: Diddy's Kong Quest The Original Donkey Kong Country2 Soundtrack, 4.61, 31, 0.2892
133, VALKYRIE PROFILE ARRANGE ALBUM, 4.41, 27, 0.2881
134, ESPGALUDA Original Sound Track, 4.30, 35, 0.2876
135, OBOROMURAMASA ORIGINAL SOUNDTRACK, 4.37, 41, 0.2875
136, Valkyrie Profile Original Sound Track, 4.38, 37, 0.2869
137, SOULCALIBUR II original soundtrack, 4.68, 33, 0.2866
138, secret of mana +, 4.17, 35, 0.2852
139, The Legend of Zelda SOUND & DRAMA, 4.40, 35, 0.2841
140, Akumajo Dracula Gallery of Labyrinth Original Soundtrack, 4.31, 40, 0.2838
141, ACE COMBAT 5 THE UNSUNG WAR Original Soundtrack, 4.43, 37, 0.2833
142, Dairantou Smash Brothers DX Orchestra Concert, 4.58, 44, 0.2830
143, FINAL FANTASY III ORIGINAL SOUND VERSION, 4.04, 37, 0.2830
144, ROCKMAN X ALPH-LYLA with TOSHIAKI OHTSUBO, 4.38, 33, 0.2829
145, Rudra no Hihou original sound version, 4.46, 23, 0.2829
146, LAST RANKER Original Soundtrack, 4.49, 37, 0.2821
147, Akumajo-Dracula Ubawareta kokuin Original Soundtrack, 4.44, 39, 0.2811
148, FINAL FANTASY IX Original Soundtrack PLUS, 3.90, 46, 0.2807
149, SILENT HILL ORIGINAL SOUNDTRACKS, 4.02, 43, 0.2805
150, LIVE A LIVE Original Sound Version, 4.23, 31, 0.2802
151, AIR ORIGINAL SOUNDTRACK, 4.40, 35, 0.2788
152, Live Music by Piano and Strings: Sekaiju no MeiQ I & II Super Arrange Version, 4.63, 32, 0.2784
153, Shin Megami Tensei III NOCTURNE ORIGINAL SOUNDTRACK, 4.36, 35, 0.2778
154, Grandia II ~POVO~, 4.15, 31, 0.2776
155, FINAL FANTASY TACTICS ADVANCE Original Soundtrack, 4.11, 37, 0.2775
156, SILENT HILL 3 ORIGINAL SOUNDTRACKS, 4.33, 33, 0.2774
157, Radiant Historia Original Soundtrack, 4.20, 33, 0.2766
158, Mushihimesama Futari Original Sound Track, 4.19, 35, 0.2759
159, Tenchi Souzou Creative Soundtracks, 4.65, 31, 0.2747
160, Xenosaga III: Also Sprach Zarathustra ORIGINAL SOUND BEST TRACKS, 4.10, 43, 0.2743
161, GRADIUS ARCADE SOUNDTRACK, 4.61, 27, 0.2732
162, FINAL FANTASY XIII Original Soundtrack [Limited Edition], 4.33, 48, 0.2729
163, Romancing SaGa 3 Windy Tale, 4.40, 24, 0.2712
164, Star Ocean: The Second Story Arrange Album, 4.39, 22, 0.2707
165, To Far Away Times: Chrono Trigger & Chrono Cross Arrangement Album, 4.17, 42, 0.2706
166, PERSONA3 Original Soundtrack, 4.09, 53, 0.2705
167, Chrono Trigger Arranged Version: The Brink of Time, 3.58, 56, 0.2703
168, METROID PRIME & FUSION ORIGINAL SOUNDTRACKS, 4.28, 47, 0.2702
169, Piano Collections Final Fantasy VI, 3.96, 37, 0.2699
170, Bare Knuckle Original Soundtrack, 4.62, 25, 0.2694
171, Senko no Ronde -Sound Tracks-, 4.45, 29, 0.2689
